article_id,article_version,hcpc_code_group,paragraph,last_updated
58679,38,1,&lt;p&gt;Single genes and solid tumor panels&lt;&sol;p&gt;,08/07/2026
58679,38,2,&lt;p&gt;Hematologic neoplasm panels&lt;&sol;p&gt;,08/07/2026
58679,38,3,"&lt;p&gt;&lt;!&amp;mdash;&amp;mdash;&amp;mdash;&amp;mdash;StartFragment &amp;mdash;&amp;mdash;&amp;mdash;&amp;mdash;&gt;&lt;&sol;p&gt;
&lt;p class=&quot;pf0&quot;&gt;&lt;span class=&quot;cf0&quot;&gt;These code(s) are non-covered.&lt;&sol;span&gt;&lt;&sol;p&gt;
&lt;p&gt;&lt;!&amp;mdash;&amp;mdash;&amp;mdash;&amp;mdash;EndFragment &amp;mdash;&amp;mdash;&amp;mdash;&amp;mdash;&gt;&lt;&sol;p&gt;",08/07/2026
60377,5,1,&lt;p&gt;N&sol;A&lt;&sol;p&gt;,08/06/2026
60377,5,2,&lt;p&gt;The following CPT code is considered non-covered.&lt;&sol;p&gt;,08/06/2026
60375,5,1,,08/06/2026
60375,5,2,&lt;p&gt;The following CPT&lt;sup&gt;&amp;#174;&lt;&sol;sup&gt; code is considered non-covered.&lt;&sol;p&gt;,08/06/2026
60391,4,1,&lt;p&gt;N&sol;A&lt;&sol;p&gt;,08/06/2026
60391,4,2,&lt;p&gt;The following CPT code is considered non-covered.&lt;&sol;p&gt;,08/06/2026
60361,7,1,&lt;p&gt;N&sol;A&lt;&sol;p&gt;,08/05/2026
60361,7,2,&lt;p&gt;The following CPT code is considered non-covered.&lt;&sol;p&gt;,08/05/2026
58323,13,1,,08/05/2026
58565,52,1,&lt;p&gt;Providers are reminded to refer to the long descriptors of the CPT codes in their CPT book.&lt;&sol;p&gt;,08/04/2026
57917,32,1,,08/03/2026
57917,32,2,&lt;p&gt;These code(s) are non-covered. &amp;nbsp;&lt;&sol;p&gt;,08/03/2026
56690,18,1,,07/31/2026
57435,27,1,,07/31/2026
60155,6,1,,07/31/2026
60152,8,1,,07/31/2026
52370,135,1,"&lt;p&gt;Effective 01&sol;01&sol;2026, HCPCS code Q5160 should be used to report bevacizumab-nwgd (jobevneTM), 10mg&lt;&sol;p&gt;
&lt;p&gt;Effective 04&sol;01&sol;2023, HCPCS code Q5129 should be used to report bevacizumab-adcd (Vegzelma&amp;#174;). Effective 09&sol;27&sol;2022 through 03&sol;31&sol;2023 HCPCS code J3590 should be reported.&lt;span style=&quot;line-height: 107%;&quot;&gt;&lt;br &sol;&gt;&lt;&sol;span&gt;&lt;&sol;p&gt;
&lt;p style=&quot;line-height: normal;&quot;&gt;Effective 01&sol;01&sol;2023, HCPCS code Q5126 should be reported for bevacizumab-maly, biosimilar, (ALYMSYS1&amp;#174;), 10 mg. Effective 10&sol;01&sol;2022 through 12&sol;31&sol;2022, HCPCS code C9142 Injection, bevacizumab-maly, biosimilar, (ALYMSYS&amp;#174;), 10 mg has been added for services billed to the Part A MAC. HCPCS code J3590 should be reported for the Part B MAC.&lt;&sol;p&gt;
&lt;p style=&quot;line-height: normal;&quot;&gt;HCPCS code C9142, C9257, Q5107, Q5118 or Q5126 should be reported for treatment of approved ophthalmologic indications billed to the Part A MAC.&lt;br &sol;&gt;&lt;br &sol;&gt;HCPCS code C9142, J9035, Q5107, Q5118 or Q5126 (bill one unit per eye) should be reported for the treatment of approved ophthalmologic indications billed to the Part B MAC.&lt;&sol;p&gt;",07/31/2026
52370,135,2,&lt;p&gt;&lt;u&gt;Intravitreal injection code &lt;&sol;u&gt;&lt;&sol;p&gt;,07/31/2026
57326,42,1,,07/31/2026
58559,42,1,,07/31/2026
